Player,Pos,GP,PP_TOI,SH_TOI,PP GF/60,PP GA/60,STS/60,PPGF,PPGA,STS,SHP,PP GA ADJ,PP GA/60 ADJ,STSA,STSA/60,PPP,PP TOI%,SH TOI%,ST TOI%
Ryan Strome,C,491,1016.7,364.8,6.26,7.07,-0.8100000000000005,106.0,43.0,63.0,3,40.0,6.58,66.0,-0.32,57,43.0,14.9,57.9
Jeff Petry,D,524,1007.27,1156.73,6.25,6.74,-0.4900000000000002,105.0,130.0,-25.0,6,124.0,6.43,-19.0,-0.18,64,38.4,43.2,81.6
Dan Boyle,D,214,605.42,126.1,6.24,4.28,1.96,63.0,9.0,54.0,0,9.0,4.28,54.0,1.96,36,56.7,12.7,69.4
Lucas Wallmark,C,167,173.07,147.27,6.24,5.7,0.54,18.0,14.0,4.0,1,13.0,5.3,5.0,0.94,13,21.4,17.8,39.2
Brooks Laich,C,210,115.4,467.37,6.24,5.78,0.45999999999999996,12.0,45.0,-33.0,4,41.0,5.26,-29.0,0.98,4,10.6,39.2,49.8
Colin Miller,D,301,577.32,151.8,6.24,5.93,0.3100000000000005,60.0,15.0,45.0,1,14.0,5.53,46.0,0.71,40,38.7,10.0,48.7
Evander Kane,L,452,1030.38,561.48,6.23,4.49,1.7400000000000002,107.0,42.0,65.0,14,28.0,2.99,79.0,3.24,63,45.7,24.3,70.0
Chris Tierney,C,436,356.4,699.33,6.23,6.78,-0.5499999999999998,37.0,79.0,-42.0,12,67.0,5.75,-30.0,0.48,25,16.1,34.9,51.0
Ryan Smyth,L,72,183.63,121.95,6.21,2.95,3.26,19.0,6.0,13.0,0,6.0,2.95,13.0,3.26,7,44.9,28.9,73.8
Jussi Jokinen,L,372,793.77,464.17,6.2,6.33,-0.1299999999999999,82.0,49.0,33.0,3,46.0,5.95,36.0,0.25,57,41.2,24.4,65.6
Ryan Pulock,D,234,406.58,258.87,6.2,7.65,-1.4500000000000002,42.0,33.0,9.0,0,33.0,7.65,9.0,-1.45,28,38.1,25.3,63.4
Hampus Lindholm,D,502,890.87,1062.02,6.2,6.33,-0.1299999999999999,92.0,112.0,-20.0,4,108.0,6.1,-16.0,0.1,52,36.6,38.0,74.6
Tom Wilson,R,522,242.8,714.18,6.18,6.38,-0.20000000000000018,25.0,76.0,-51.0,6,70.0,5.88,-45.0,0.3,15,9.3,24.8,34.1
Gustav Nyquist,C,530,1429.6,53.57,6.17,7.84,-1.67,147.0,7.0,140.0,1,6.0,6.72,141.0,-0.55,83,52.2,2.0,54.2
Jake Muzzin,D,523,1040.83,935.55,6.17,5.84,0.33000000000000007,107.0,91.0,16.0,5,86.0,5.52,21.0,0.65,61,40.4,34.1,74.5
Ryan Murray,D,347,457.43,709.55,6.16,5.92,0.2400000000000002,47.0,70.0,-23.0,2,68.0,5.75,-21.0,0.41,23,26.3,40.4,66.7
